"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","significance"
"ENSG00000229376",0.00879404863182907,-0.499661875467656,3.33312675339708,-0.149907853026713,0.880837315914581,NA,"CICP3","Not Significant"
"ENSG00000228327",23.956041233812,-0.231119918360656,0.383239460287761,-0.603069209488804,0.546462648720176,0.979846821054155,"ENSG00000228327","Not Significant"
"ENSG00000223181",0.578998096851939,1.25955580431946,0.686725869727851,1.83414643286792,0.0666322604637591,NA,"RNU6-1199P","Not Significant"
"ENSG00000229905",0,NA,NA,NA,NA,NA,"ENSG00000229905","Not Significant"
"ENSG00000237491",52.5752060773957,-0.217694282089817,0.388197406632209,-0.560782422475241,0.574945870873724,0.980084701671367,"ENSG00000237491","Not Significant"
"ENSG00000230092",9.40626977061837,-0.453098417169272,0.405315553157374,-1.11789052662715,0.263613751545268,0.918055956036013,"ENSG00000230092","Not Significant"
"ENSG00000177757",1.0799181793892,-0.36302861789072,0.573779189941563,-0.632697428304594,0.526931249579527,NA,"FAM87B","Not Significant"
"ENSG00000228794",107.215410918913,-0.0245099808855374,0.280590161692056,-0.087351533417044,0.930392092783249,0.997011555098508,"LINC01128","Not Significant"
"ENSG00000225880",15.8843595733418,0.55690976003331,0.34413265694302,1.61829965508191,0.105598035000174,0.7493248222972,"LINC00115","Not Significant"
"ENSG00000230368",0.39289118657364,-2.18223227032348,1.16176720628064,-1.87837310136325,0.0603301426011056,NA,"FAM41C","Not Significant"
"ENSG00000234711",0.0404164604232709,-0.906828808601934,3.33304816374288,-0.272071918571858,0.785566721087478,NA,"TUBB8P11","Not Significant"
"ENSG00000283040",0.0362399220995029,-0.442045080553947,3.33308127339066,-0.132623552891726,0.894491104449071,NA,"ENSG00000283040","Not Significant"
"ENSG00000272438",0.483660524852883,0.0344986095663518,0.79623564133754,0.0433271355554996,0.965440760482943,NA,"ENSG00000272438","Not Significant"
"ENSG00000230699",10.3087581013221,-0.105676687353776,0.55705889234995,-0.189704695149879,0.84954054142617,0.996435111175685,"ENSG00000230699","Not Significant"
"ENSG00000241180",0.0732763011031865,-0.329392152323203,2.30165194855094,-0.143111191303524,0.886202366540843,NA,"ENSG00000241180","Not Significant"
"ENSG00000223764",18.4499032148708,-0.117586669204292,0.509012343560678,-0.231009465078472,0.81730744882562,0.996435111175685,"ENSG00000223764","Not Significant"
"ENSG00000187634",24.4884926492935,-0.210280863526947,0.462083290157091,-0.45507134321057,0.64905791362362,0.984625596432822,"SAMD11","Not Significant"
"ENSG00000188976",358.604693684607,0.0611142658677948,0.214646820855971,0.284720107309686,0.775858584567166,0.993996023036238,"NOC2L","Not Significant"
"ENSG00000187961",77.3388815729453,-0.275298927171296,0.323656377192887,-0.850590152305969,0.394997061701544,0.959247941900632,"KLHL17","Not Significant"
"ENSG00000187583",55.9791771942051,0.258882840541558,0.442683417142608,0.584803565068172,0.558679806939777,0.980084701671367,"PLEKHN1","Not Significant"
"ENSG00000187642",4.4115014030157,-0.399895298861298,0.539195100759503,-0.741652322689896,0.458298013486043,0.968633292911405,"PERM1","Not Significant"
"ENSG00000272512",39.8526520612848,-0.33047535953479,0.43984031265129,-0.751353047979472,0.452440211552119,0.968633292911405,"ENSG00000272512","Not Significant"
"ENSG00000188290",35.4479477295329,0.0162350125807809,0.365150598344222,0.044461141935406,0.964536825572154,0.997253820813812,"HES4","Not Significant"
"ENSG00000187608",104.1189957394,0.019205035478928,0.494523017594258,0.0388354733665505,0.969021562500568,0.997253820813812,"ISG15","Not Significant"
"ENSG00000231702",0.0219786555648781,-0.834925772093618,3.33307795736182,-0.250496922896599,0.802203084037948,NA,"ENSG00000231702","Not Significant"
"ENSG00000224969",0.600297210525738,-0.747099376209979,0.799497828169693,-0.934460795122269,0.350066250135817,NA,"ENSG00000224969","Not Significant"
"ENSG00000188157",1434.37964383244,-0.163470521183899,0.27892935587283,-0.586064240790879,0.557832345516011,0.980084701671367,"AGRN","Not Significant"
"ENSG00000242590",0,NA,NA,NA,NA,NA,"ENSG00000242590","Not Significant"
"ENSG00000217801",13.6545875624222,-0.648953919937515,0.620296147777475,-1.04620014530595,0.295468635843938,0.934391144753738,"ENSG00000217801","Not Significant"
"ENSG00000273443",0.234333337393589,-0.949269911485745,0.958781043388451,-0.990079975017975,0.32213503032374,NA,"ENSG00000273443","Not Significant"
"ENSG00000237330",8.13214780321149,-0.527621807937227,0.651250716857266,-0.810166951498136,0.417844228895534,0.96544976658698,"RNF223","Not Significant"
"ENSG00000131591",95.6129321170744,0.171002549514138,0.219887973967261,0.777680317976817,0.436757498098385,0.968385305611378,"C1orf159","Not Significant"
"ENSG00000223823",4.04375771486892,0.318755769635882,0.653449149940164,0.487805010787864,0.625687961842251,0.983047289724774,"LINC01342","Not Significant"
"ENSG00000207730",2.22803339788671,0.380499416285788,0.677108826869681,0.561947210236295,0.574151986718669,NA,"MIR200B","Not Significant"
"ENSG00000207607",2.19583498925139,0.0310157751107925,0.592792693140288,0.0523214531314279,0.958272559599999,NA,"MIR200A","Not Significant"
